"source","target"
"English","Español;"
"Enter","Ingresar;"
"OK","OK;"
"Public Universes","Universos públicos;"
"Colony Defense","Defensa de la colonia;"
"Private Universe","Universo privado;"
"Pair Mobile App","Aplicación móvil;"
"Debug Levels","Niveles de depuración;"
"Logout","Cerrar sesión;"
"Next Update","Siguiente actualización;"
"Debug Menu","Menú de depuración;"
"PUBLIC UNIVERSE","Universo público;"
"PRIVATE UNIVERSE","Universo privado;"
"Avatar Inventory","Inventario de avatar;"
"Universe:","Universo:;"
"Planet:","Planeta:;"
"Owner:","Dueño:;"
"Droids","Droides;"
"Vehicles","Vehículos;"
"Current Base","Base actual;"
"Avatars","Avatares;"
"Create New Avatar","Crear nuevo avatar;"
"US West","Nosotros oeste;"
"Back","atrás;"
"Launch","Lanzamiento;"
"Faction","Facción;"
"U.N.E.","U.n.e.;"
"Outlanders","Outlanal;"
"Scientist","Científico;"
"Science: 18","Ciencia: 18;"
"Engineering: 7","Ingeniería: 7;"
"Combat: 5","Combate: 5;"
"Male","Masculino;"
"Female","Mujer;"
"Ranger","guardabosque;"
"Combat: 10","Combate: 10;"
"Engineering: 10","Ingeniería: 10;"
"Science: 10","Ciencia: 10;"
"Marine","Marina;"
"Combat: 20","Combate: 20;"
"Engineering: 6","Ingeniería: 6;"
"Science: 4","Ciencia: 4;"
"Engineer","Ingeniero;"
"Combat: 8","Combate: 8;"
"Engineering: 16","Ingeniería: 16;"
"Science: 6","Ciencia: 6;"
"SELECT YOUR CLASS","Seleccione su clase;"
"Starting Items","Objetos iniciales;"
"Description","Descripción;"
"Choose Colors","Elige los colores;"
"Primary","Primario;"
"Secondary","Secundario;"
"Detail","Detalle;"
"Glow","Resplandor;"
"CUSTOMIZE FEATURES","Personalizar características;"
"Height","Altura;"
"Head","Cabeza;"
"Torso","Torso;"
"Upper Arms","Parte superior de los brazos;"
"Forearms","Antebrazos;"
"Hands","Manos;"
"Thighs","Muslos;"
"Calves","Pantorrillas;"
"Feet","Pies;"
"Random","Aleatorio;"
"Reset","Reiniciar;"
"Assign Name","Asignar nombre;"
"Type Name","Escribe un nombre;"
"Create","Crear;"
"Colors","Colores;"
"Head / Shoulders","Cabeza hombros;"
"Mid","Medio;"
"Legs / Feet","Piernas pies;"
"Randomize","Aleatorizar;"
"Head/Shoulders","Cabeza hombros;"
"Helmet","Casco;"
"Shoulder pads","Hombreras;"
"Body","Cuerpo;"
"Backpack","Mochila;"
"Gloves","Guantes;"
"Legs/Feet","Piernas pies;"
"Legs","Piernas;"
"Knee pads","Rodilleras;"
"Boots","Botas;"
"Assign Stat Points","Asignar puntos de estadística;"
"Speed","Velocidad;"
"Health","Salud;"
"Strength","Fuerza;"
"Stamina","Aguante;"
"Stat Points :","Puntos de estadísticas:;"
"Assign Skill Points","Asignar puntos de habilidad;"
"Clear","Claro;"
"Confirm","Confirmar;"
"Region","Región;"
"Server Name","Nombre del servidor;"
"Rules","Reglas;"
"Days Left","Días restantes;"
"Players In World","Jugadores en el mundo;"
"Players In Universe","Jugadores en universo;"
"US East","Nosotros este;"
"Canada","Canadá;"
"Asia","Asia;"
"Europe","Europa;"
"Australia","Australia;"
"Japan","Japón;"
"South America","Sudamerica;"
"Favorite","Favorito;"
"Join","Entrar;"
"Refresh","Actualizar;"
"Colony Defense Lobby","Lobby de defensa de la colonia;"
