"English","Français";
"Enter","Entrer";
"OK","d'accord";
"Public Universes","Univers public";
"Colony Defense","Défense de la colonie";
"Private Universe","Univers privé";
"Pair Mobile App","Paire application mobile";
"Debug Levels","Niveaux de débogage";
"Logout","Se déconnecter";
"Next Update","Prochaine mise à jour";
"Debug Menu","Menu de débogage";
"PUBLIC UNIVERSE","Univers public";
"PRIVATE UNIVERSE","Univers privé";
"Avatar Inventory","Inventaire d'avatar";
"Universe:","Univers:";
"Planet:","Planète:";
"Owner:","Propriétaire:";
"Droids","Droïdes";
"Vehicles","Véhicules";
"Current Base","Base actuelle";
"Avatars","Avatars";
"Create New Avatar","Créer un nouvel avatar";
"US West","US West";
"Back","Dos";
"Launch","Lancer";
"Faction","Faction";
"U.N.E.","U.n.e.";
"Outlanders","Outlanders";
"Scientist","Scientifique";
"Science: 18","Science: 18";
"Engineering: 7","Ingénierie: 7";
"Combat: 5","Combat: 5";
"Male","Homme";
"Female","Femelle";
"Ranger","Ranger";
"Combat: 10","Combat: 10";
"Engineering: 10","Ingénierie: 10";
"Science: 10","Science: 10";
"Marine","Marin";
"Combat: 20","Combat: 20";
"Engineering: 6","Ingénierie: 6";
"Science: 4","Science: 4";
"Engineer","Ingénieur";
"Combat: 8","Combat: 8";
"Engineering: 16","Ingénierie: 16";
"Science: 6","Science: 6";
"SELECT YOUR CLASS","Sélectionnez votre classe";
"Starting Items","Articles de départ";
"Description","La description";
"Choose Colors","Choisissez des couleurs";
"Primary","Primaire";
"Secondary","Secondaire";
"Detail","Détail";
"Glow","Briller";
"CUSTOMIZE FEATURES","Personnaliser les fonctionnalités";
"Height","Hauteur";
"Head","Diriger";
"Torso","Torse";
"Upper Arms","Le haut des bras";
"Forearms","Avant-bras";
"Hands","Mains";
"Thighs","Les cuisses";
"Calves","Veaux";
"Feet","Pieds";
"Random","Aléatoire";
"Reset","Réinitialiser";
"Assign Name","Attribuer le nom";
"Type Name","Nom de type";
"Create","Créer";
"Colors","Couleurs";
"Head / Shoulders","Tête épaules";
"Mid","Milieu";
"Legs / Feet","Jambes / pieds";
"Randomize","Randomiser";
"Head/Shoulders","Tête épaules";
"Helmet","Casque";
"Shoulder pads","Épaulettes";
"Body","Corps";
"Backpack","Sac à dos";
