"English","italiano";
"Enter","accedere";
"OK","ok";
"Public Universes","Universi pubblici.";
"Colony Defense","Difesa della colonia";
"Private Universe","Universo privato.";
"Pair Mobile App","Pair App Mobile";
"Debug Levels","Livelli di debug.";
"Logout","Disconnettersi";
"Next Update","Aggiornamento successivo";
"Debug Menu","Menu debug.";
"PUBLIC UNIVERSE","Universo pubblico.";
"PRIVATE UNIVERSE","Universo privato.";
"Avatar Inventory","Inventario Avatar.";
"Universe:","Universo:";
"Planet:","Pianeta:";
"Owner:","Proprietario:";
"Droids","Droids.";
"Vehicles","Veicoli";
"Current Base","Base corrente";
"Avatars","Avatar.";
"Create New Avatar","Creare un nuovo avatar.";
"US West","US WEST.";
"Back","Indietro";
"Launch","Lanciare";
"Faction","Fazione";
"U.N.E.","U.n.e.e.";
"Outlanders","Outlander";
"Scientist","Scienziato";
"Science: 18","Scienza: 18.";
"Engineering: 7","Ingegneria: 7.";
"Combat: 5","Combattimento: 5.";
"Male","Maschio";
"Female","Femmina";
"Ranger","Ranger";
"Combat: 10","Combattimento: 10.";
"Engineering: 10","Ingegneria: 10.";
"Science: 10","Scienza: 10.";
"Marine","Marino";
"Combat: 20","Combattimento: 20.";
"Engineering: 6","Ingegneria: 6.";
"Science: 4","Scienza: 4.";
"Engineer","Ingegnere";
"Combat: 8","Combattimento: 8.";
"Engineering: 16","Ingegneria: 16.";
"Science: 6","Scienza: 6.";
"SELECT YOUR CLASS","Seleziona la tua classe";
"Starting Items","Articoli di partenza";
"Description","Descrizione";
"Choose Colors","Scegli i colori";
"Primary","Primario";
"Secondary","Secondario";
"Detail","Dettaglio";
"Glow","Bagliore";
"CUSTOMIZE FEATURES","Personalizza Caratteristiche";
"Height","Altezza";
"Head","Testa";
"Torso","Torso";
"Upper Arms","Arti superiori";
"Forearms","Avambracci";
"Hands","Mani";
"Thighs","Cosce";
"Calves","Vitelli";
"Feet","I piedi";
"Random","Casuale";
"Reset","Ripristina";
"Assign Name","Assegna il nome";
"Type Name","Digitare il nome";
"Create","Creare";
"Colors","Colori";
"Head / Shoulders","Testa spalle";
"Mid","Medio";
"Legs / Feet","Gambe / piedi";
"Randomize","Rendi casuale";
"Head/Shoulders","Testa spalle";
"Helmet","Casco";
"Shoulder pads","Spalline";
"Body","Corpo";
"Backpack","Zaino";
"Gloves","Guanti";
"Legs/Feet","Gambe / piedi";
"Legs","Gambe";
"Knee pads","Ginocchiere";
"Boots","Stivali";
"Assign Stat Points","Assegna punti stat.";
"Speed","Velocità";
"Health","Salute";
"Strength","Forza";
"Stamina","Resistenza";
"Stat Points :","Puntit Punti:";
"Assign Skill Points","Assegna punti abilità";
"Clear","Chiaro";
"Confirm","Confermare";
"Region","Regione";
"Server Name","Nome del server";
"Rules","Regole";
"Days Left","Giorni rimasti";
"Players In World","Giocatori nel mondo";
"Players In Universe","Giocatori in Universe.";
"US East","Stati Uniti est";
"Canada","Canada";
"Asia","Asia";
"Europe","Europa";
"Australia","Australia";
"Japan","Giappone";
"South America","Sud America";
"Favorite","Preferito";
"Join","Aderire";
"Refresh","ricaricare";
"Colony Defense Lobby","Lobby della difesa della colonia";
"<color=#00FFFF><size=24>U.N.E. Team Objective</size></color>

<color=#FFFFFF>Defend your settlement until the timer runs out. At the end of the game, if All of your structures are still standing, You win!</color>

<color=#B4B4B4>Hint: Win early by destroying all of the Outlander Inflatable Domes</color>


<color=#00FFFF><size=24>Outlander Team Objective:</size></color>

<color=#FFFFFF>Attack the U.N.E. settlement! If you destroy any of the original settlement structures, it's an automatic win!</color>

<color=#B4B4B4>Hint: Use the Dart Gun to sedate large creatures and ride them into battle</color>","<Color = # 00FFFF> <Dimensione = 24> U.N.E. Team Obiettivo </ Size> </ Color>

<Color = # FFFFFFF> Difendi il tuo regolamento finché il timer finché il timer si esaurisce. Alla fine del gioco, se tutte le tue strutture sono ancora in piedi, vinci! </ Color>

<Color = # B4B4B4> Suggerimento: Vinci presto distruggendo tutte le cupole gonfiabili di Outlander </ Color>


<Color = # 00ffff> <Dimensione = 24> Outlander Team Obiettivo: </ Dimensione> </ Color>

<colore = # ffffff> Attacca l'u.n.e. Insediamento! Se distruggi una qualsiasi delle strutture di insediamento originali, è una vittoria automatica! </ Color>

<Color = # B4B4B4> Suggerimento: Utilizzare la pistola DART per sedare le grandi creature e guidarle in battaglia </ colore>";
"Ready","Pronto";
"Leave","Partire";
"UNIVERSE","UNIVERSO";
"Creator","Creatore";
"RULES","REGOLE";
"Players in world","Giocatori nel mondo";
"Players in universe","Giocatori in Universe.";
"Players with Access","Giocatori con accesso";
"No Private Universes to Join.
Create a New Universe and Invite Your Friends To Join!","Nessun universo privato per unirsi.
Crea un nuovo universo e invita i tuoi amici a unirsi!";
"View","Visualizza";
"Customize Universe","Personalizza l'universo.";
"Universe Name:","Nome dell'universo:";
"Enter universe name...","Inserisci il nome dell'universo ...";
"Mode:","Modalità:";
"Region:","Regione:";
"Difficulty:","Difficoltà:";
"Normal","Normale";
"The way the game was meant to be played. Battle the elements, search for resources, and monitor your suit readings to stay alive in the harsh climates of space.","Il modo in cui il gioco doveva essere giocato. Combatti gli elementi, cerca risorse e monitora le tue letture del vestito per rimanere vive nei duri climi dello spazio.";
"Easy
","Facile
";
"A lighter Osiris: New Dawn experience. You will still need to survive, but the experience is more forgiving. Better for explorers who want less to worry about. ","Un più leggero osiris: nuova esperienza di Dawn. Dovrai comunque sopravvivere, ma l'esperienza è più perdonata. Meglio per gli esploratori che vogliono meno preoccuparsi.";
"Extreme","Estremo";
"Test your survival skill to its limit. Your success is not assured. ","Metti alla prova la tua abilità di sopravvivenza al limite. Il tuo successo non è assicurato.";
"Creative
","Creativo
";
"Craft anything you'd like without the worry of creatures  or survival gameplay.","Creazione di tutto ciò che vorresti senza la preoccupazione delle creature o del gameplay di sopravvivenza.";
"Custom","Abitudine";
"Make your Osiris experience perfect for you!","Rendi la tua esperienza di Osiris perfetta per te!";
"Delete","Elimina";
"Invite
Players","Invitare
Giocatori";
"Update","Aggiornare";
"Advanced Customization","Personalizzazione avanzata";
"Player","Giocatore";
"Proficiency","Competenza";
"Stat Points Per Level","Punti statistici per livello";
"Thirst","Sete";
"Hunger","Fame";
"Oxygen
Consumption","Ossigeno
Consumo";
"Stamina
Consumption","Resistenza
Consumo";
"Flashlight Power Drain (WIP)","Drein di potenza torcia (WIP)";
"Fall
Damage","Autunno
Danno";
"Crash 
Items","Incidente
Elementi";
"Stamina Penalty Duration","Durata della penalità di resistenza";
"No Stamina Speed","Nessuna velocità di resistenza";
"Hover Fuel
Consumption","Carburante al volo
Consumo";
"Hover 
Duration","Hover.
Durata";
"Vehicle Fuel
Consumption","Carburante del veicolo
Consumo";
"Tool/Weapon 
Decay Rate","Strumento / Arma
Tasso di decadimento";
"Structure Decay Speed","Struttura della velocità della decadenza";
"Inventory Weight","Peso dell'inventario";
"Item Stack Size","Dimensione dell'articolo";
"Encumberance Penalty","Penalità ingombrante";
"Creative Mode
(Infinite Resources and Unlocks)","Modalità creativa
(Risorse infinite e sblocchi)";
"Invulnerability","Invulnerabilità";
"First Person Hit Reaction","Reazione di prima persona";
"Pickup Animation","Animazione di pick-up.";
"Auto-Pickup Bonus Resources","Risorse bonus di pickup automatico";
"Planets","Pianeti";
"Resource Yield","Rendimento delle risorse";
"Mineral Respawn Rate","Tasso di respawn minerale.";
"Alien
Population","Alieno
Popolazione";
"Alien
Damage","Alieno
Danno";
"Alien
Health","Alieno
Salute";
"Alien
Hearing","Alieno
Audizione";
"Alien
Sight","Alieno
Vista";
"Alien Suit Breach Chance","Abito alieno Possibilità di violazione";
"Plant Suit Breach Chance","Pianta Vestito Possibilità di violazione";
"Slope Slip Modifier","Modificatore di slittamento della pendenza";
"Slope Damage Chance","Pendio Change Chance.";
"Slope Breach Chance","Possibilità di violazione del pendio";
"Weather Cycle Rate","Velocità del ciclo meteorologico";
"Time Cycle Rate","Vota del ciclo di tempo";
"Storm Damage Chance","Possibilità di danno tempesta";
"Storm Damage Amount","Importo del danno della tempesta";
"Storm Suit Breach Chance","Capacità di violazione della tempesta";
"Storm Spawn Chance","Storm Spawn Chance.";
"Storm Length","Lunghezza della tempesta";
"Respawn HP","Respawn hp.";
"Permadeath (WIP)","Permadeath (WIP)";
"Drop Inventory On Death","Cadere inventario sulla morte";
