"English","日本語";
"Enter","入る";
"OK","OK";
"Public Universes","公共団体";
"Colony Defense","コロニー防衛";
"Private Universe","専用宇宙";
"Pair Mobile App","ペアモバイルアプリ";
"Debug Levels","デバッグレベル";
"Logout","ログアウト";
"Next Update","次の更新";
"Debug Menu","デバッグメニュー";
"PUBLIC UNIVERSE","公共の宇宙";
"PRIVATE UNIVERSE","専用宇宙";
"Avatar Inventory","アバターインベントリ";
"Universe:","宇宙：";
"Planet:","惑星：";
"Owner:","オーナー：";
"Droids","ドロイド";
"Vehicles","車両";
"Current Base","現在のベース";
"Avatars","アバター";
"Create New Avatar","新しいアバターを作成します";
"US West","米国ウエスト";
"Back","バック";
"Launch","発行する";
"Faction","派";
"U.N.E.","u u";
"Outlanders","アウトランダー";
"Scientist","科学者";
"Science: 18","科学：18";
"Engineering: 7","工学：7";
"Combat: 5","戦闘：5";
"Male","男性";
"Female","女性";
"Ranger","部隊";
"Combat: 10","戦闘：10";
"Engineering: 10","エンジニアリング：10";
"Science: 10","科学：10";
"Marine","マリン";
"Combat: 20","戦闘：20";
"Engineering: 6","エンジニアリング：6";
"Science: 4","科学：4";
"Engineer","エンジニア";
"Combat: 8","戦闘：8";
"Engineering: 16","エンジニアリング：16";
"Science: 6","科学：6";
"SELECT YOUR CLASS","クラスを選択してください";
"Starting Items","出発アイテム";
"Description","description";
"Choose Colors","色を選ぶ";
"Primary","一次";
"Secondary","二次";
"Detail","detail detail";
"Glow","輝く";
"CUSTOMIZE FEATURES","機能をカスタマイズする";
"Height","高さ";
"Head","頭";
"Torso","胴体";
"Upper Arms","二の腕";
"Forearms","前腕";
"Hands","hands";
"Thighs","太もも";
"Calves","子牛";
"Feet","足";
"Random","ランダム";
"Reset","リセットする";
"Assign Name","名前を割り当てます";
"Type Name","タイプ名";
"Create","創造する";
"Colors","色";
"Head / Shoulders","頭、肩";
"Mid","中々";
"Legs / Feet","足/足";
"Randomize","無作為化";
"Head/Shoulders","頭、肩";
"Helmet","ヘルメット";
"Shoulder pads","肩パッド";
"Body","体";
"Backpack","バックパック";
"Gloves","手袋";
"Legs/Feet","足/足";
"Legs","足";
"Knee pads","膝パッド";
"Boots","ブーツ";
"Assign Stat Points","Stat Pointsを割り当てます";
"Speed","速度";
"Health","健康";
"Strength","力";
"Stamina","元気";
"Stat Points :","スタートポイント：";
"Assign Skill Points","スキルポイントを割り当てます";
"Clear","晴れ";
"Confirm","確認";
"Region","領域";
"Server Name","サーバー名";
"Rules","規則";
"Days Left","残りの日数";
"Players In World","世界のプレイヤー";
"Players In Universe","宇宙のプレーヤー";
"US East","米国東";
"Canada","カナダ";
"Asia","アジア";
"Europe","ヨーロッパ";
"Australia","オーストラリア";
"Japan","日本";
"South America","南アメリカ";
"Favorite","favorite favorite";
"Join","join";
"Refresh","更新";
"Colony Defense Lobby","コロニーディフェンスロビー";
"<color=#00FFFF><size=24>U.N.E. Team Objective</size></color>

<color=#FFFFFF>Defend your settlement until the timer runs out. At the end of the game, if All of your structures are still standing, You win!</color>

<color=#B4B4B4>Hint: Win early by destroying all of the Outlander Inflatable Domes</color>


<color=#00FFFF><size=24>Outlander Team Objective:</size></color>

<color=#FFFFFF>Attack the U.N.E. settlement! If you destroy any of the original settlement structures, it's an automatic win!</color>

<color=#B4B4B4>Hint: Use the Dart Gun to sedate large creatures and ride them into battle</color>","<color =＃00FFFF> <size = 24> U.e。チーム目標</サイズ> </カラー>

<color = #ffffff>タイマーが実行されるまで決済を守ります。ゲームの終わりに、あなたの構造のすべてがまだ立っているなら、あなたは勝ちます！</ color>

<color =＃b4b4b4>ヒント：すべてのアウトランダーの膨脹可能なドームを破壊することによって早く勝つ</ color>


<color =＃00FFFF> <size = 24> Outlanderチーム目標：</ size> </ color>

<color =＃ffffff> u.n.eを攻撃します。決済！あなたが元の決済構造のいずれかを破壊するなら、それは自動勝利です！</ color>

<COLOR =＃B4B4B4>ヒント：ダーツガンを使用して大きな生き物を鎮静させて戦いに乗る</カラー>";
"Ready","準備ができて";
