"English","русский";
"Enter","Входить";
"OK","ОК";
"Public Universes","Публичные вселенные";
"Colony Defense","Оборона колонии";
"Private Universe","Частная вселенная";
"Pair Mobile App","Пара мобильного приложения";
"Debug Levels","Уровни отладки";
"Logout","Выйти";
"Next Update","Следующее обновление";
"Debug Menu","Отладка меню";
"PUBLIC UNIVERSE","Общественная вселенная";
"PRIVATE UNIVERSE","Частная вселенная";
"Avatar Inventory","Аватар инвентарь";
"Universe:","Вселенная:";
"Planet:","Планета:";
"Owner:","Владелец:";
"Droids","Дроиды";
"Vehicles","Транспортные средства";
"Current Base","Текущая база";
"Avatars","Аватары";
"Create New Avatar","Создать новый аватар";
"US West","США на запад";
"Back","Назад";
"Launch","Запуск";
"Faction","Фракция";
"U.N.E.","U.n.e.";
"Outlanders","Outlanders.";
"Scientist","Ученый";
"Science: 18","Наука: 18.";
"Engineering: 7","Инжиниринг: 7.";
"Combat: 5","Бой: 5.";
"Male","Мужчина";
"Female","женский";
"Ranger","Ренджер";
"Combat: 10","Бой: 10.";
"Engineering: 10","Инжиниринг: 10.";
"Science: 10","Наука: 10.";
"Marine","морской";
"Combat: 20","Бой: 20.";
"Engineering: 6","Инжиниринг: 6.";
"Science: 4","Наука: 4.";
"Engineer","Инженер";
"Combat: 8","Бой: 8.";
"Engineering: 16","Инжиниринг: 16.";
"Science: 6","Наука: 6.";
"SELECT YOUR CLASS","Выберите свой класс";
"Starting Items","Начальные предметы";
"Description","Описание";
"Choose Colors","Выберите цвета";
"Primary","Начальный";
"Secondary","Вторичный";
"Detail","Деталь";
"Glow","Светиться";
"CUSTOMIZE FEATURES","Настроить особенности";
"Height","Высота";
"Head","Глава";
"Torso","Торс";
"Upper Arms","Верхние руки";
"Forearms","Предплечья";
"Hands","Руки";
"Thighs","Бедра";
"Calves","Телята";
"Feet","Ноги";
"Random","Случайный";
"Reset","Сброс настроек";
"Assign Name","Назначить имя";
"Type Name","Тип имени";
"Create","Создавать";
"Colors","Цвета";
"Head / Shoulders","Голова / плечи";
"Mid","Середина";
"Legs / Feet","Ноги / ноги";
"Randomize","Рандомизировать";
"Head/Shoulders","Голова / плечи";
