"English","中文";
"Enter","进入";
"OK","好的";
"Public Universes","公共宇宙";
"Colony Defense","殖民地辩护";
"Private Universe","私人宇宙";
"Pair Mobile App","配对移动应用程序";
"Debug Levels","调试级别";
"Logout","登出";
"Next Update","下一次更新";
"Debug Menu","调试菜单";
"PUBLIC UNIVERSE","公共宇宙";
"PRIVATE UNIVERSE","私人宇宙";
"Avatar Inventory","头像库存";
"Universe:","宇宙：";
"Planet:","行星：";
"Owner:","所有者：";
"Droids","Droids.";
"Vehicles","车辆";
"Current Base","当前基地";
"Avatars","头像";
"Create New Avatar","创建新的头像";
"US West","美国西部";
"Back","后退";
"Launch","发射";
"Faction","派";
"U.N.E.","U.N.E.";
"Outlanders","外地人";
"Scientist","科学家";
"Science: 18","科学：18";
"Engineering: 7","工程：7";
"Combat: 5","战斗：5";
"Male","男性";
"Female","女性";
"Ranger","游侠";
"Combat: 10","战斗：10";
"Engineering: 10","工程：10";
"Science: 10","科学：10";
"Marine","mar";
"Combat: 20","战斗：20";
"Engineering: 6","工程：6";
"Science: 4","科学：4";
"Engineer","工程师";
"Combat: 8","战斗：8";
"Engineering: 16","工程：16";
"Science: 6","科学：6";
"SELECT YOUR CLASS","选择你的课程";
"Starting Items","起始物品";
"Description","描述";
"Choose Colors","选择颜色";
"Primary","基本的";
"Secondary","中学";
"Detail","细节";
"Glow","辉光";
"CUSTOMIZE FEATURES","自定义特征";
"Height","高度";
"Head","头";
"Torso","躯干";
"Upper Arms","上臂";
"Forearms","前臂";
"Hands","hands";
"Thighs","大腿";
"Calves","小牛";
"Feet","脚";
"Random","随机的";
"Reset","重启";
"Assign Name","分配名称";
"Type Name","键入名称";
"Create","创造";
"Colors","颜色";
"Head / Shoulders","头/肩膀";
"Mid","中";
"Legs / Feet","腿/脚";
"Randomize","随机化";
"Head/Shoulders","头/肩膀";
"Helmet","头盔";
"Shoulder pads","肩垫";
"Body","身体";
"Backpack","背包";
"Gloves","手套";
"Legs/Feet","腿/脚";
"Legs","腿";
"Knee pads","护膝";
"Boots","靴子";
"Assign Stat Points","分配统计点";
"Speed","速度";
"Health","健康";
"Strength","力量";
"Stamina","耐力";
"Stat Points :","统计点：";
"Assign Skill Points","分配技能点";
"Clear","清除";
"Confirm","确认";
"Region","地区";
"Server Name","服务器名称";
"Rules","规则";
"Days Left","剩下的日子";
"Players In World","世界上的球员";
"Players In Universe","宇宙中的球员";
"US East","我们东方";
"Canada","加拿大";
"Asia","亚洲";
"Europe","欧洲";
"Australia","澳大利亚";
"Japan","日本";
"South America","南美洲";
"Favorite","最喜欢的";
"Join","加入";
"Refresh","刷新";
"Colony Defense Lobby","殖民地防御大厅";
"<color=#00FFFF><size=24>U.N.E. Team Objective</size></color>

<color=#FFFFFF>Defend your settlement until the timer runs out. At the end of the game, if All of your structures are still standing, You win!</color>

<color=#B4B4B4>Hint: Win early by destroying all of the Outlander Inflatable Domes</color>


<color=#00FFFF><size=24>Outlander Team Objective:</size></color>

<color=#FFFFFF>Attack the U.N.E. settlement! If you destroy any of the original settlement structures, it's an automatic win!</color>

<color=#B4B4B4>Hint: Use the Dart Gun to sedate large creatures and ride them into battle</color>","<color =＃00ffff> <size = 24> u.n.e。团队客观</ size> </ color>

<color =＃ffffff>捍卫您的结算，直到计时器耗尽。在游戏结束时，如果您的所有结构仍然站立，您赢了！</ color>

<color =＃b4b4b4>提示：通过销毁所有的外地装入圆顶</ color>


<color =＃00ffff> <size = 24> Outlander团队目标：</ size> </ color>

<color =＃ffffff>攻击u.n.e.沉降！如果您销毁任何原始结算结构，则它是一个自动获胜！</ color>

<color =＃b4b4b4>提示：使用飞镖枪镇静大生物并将它们乘坐战斗</ color>";
"Ready","准备好";
"Leave","离开";
"UNIVERSE","宇宙";
"Creator","创造者";
"RULES","规则";
"Players in world","世界上的球员";
"Players in universe","宇宙中的球员";
"Players with Access","有访问的玩家";
"No Private Universes to Join.
Create a New Universe and Invite Your Friends To Join!","没有私人宇宙加入。
创建一个新的宇宙，邀请您的朋友加入！";
"View","看法";
"Customize Universe","自定义宇宙";
"Universe Name:","宇宙名称：";
"Enter universe name...","输入Universe名称......";
"Mode:","模式：";
"Region:","地区：";
"Difficulty:","困难：";
"Normal","普通的";
"The way the game was meant to be played. Battle the elements, search for resources, and monitor your suit readings to stay alive in the harsh climates of space.","游戏的意思是播放的方式。对元素进行战斗，搜索资源，并监控您的套装阅读，以便在恶劣的空间中保持活力。";
"Easy
","简单的
";
"A lighter Osiris: New Dawn experience. You will still need to survive, but the experience is more forgiving. Better for explorers who want less to worry about. ","一个更轻的奥西里斯：新的黎明经历。您仍然需要生存，但体验更加原谅。更好地为想要少担心的探险家。";
"Extreme","极端";
"Test your survival skill to its limit. Your success is not assured. ","将您的生存技能测试到其限制。您的成功并不保证。";
"Creative
","有创造力的
";
"Craft anything you'd like without the worry of creatures  or survival gameplay.","在没有生物或生存游戏的担忧的情况下，你想要的任何东西。";
"Custom","风俗";
"Make your Osiris experience perfect for you!","让您的Osiris体验完美！";
"Delete","删除";
"Invite
Players","邀请
玩家";
"Update","更新";
"Advanced Customization","先进的定制";
"Player","播放器";
"Proficiency","熟练程度";
"Stat Points Per Level","每级统计点";
"Thirst","口渴";
"Hunger","饥饿";
"Oxygen
Consumption","氧
消费";
"Stamina
Consumption","耐力
消费";
"Flashlight Power Drain (WIP)","手电筒功率漏极（WIP）";
"Fall
Damage","落下
损害";
"Crash 
Items","碰撞
项目";
"Stamina Penalty Duration","耐力罚款持续时间";
"No Stamina Speed","没有耐力的速度";
"Hover Fuel
Consumption","悬停燃料
消费";
"Hover 
Duration","徘徊
期间";
"Vehicle Fuel
Consumption","车辆燃料
消费";
"Tool/Weapon 
Decay Rate","工具/武器
衰减率";
"Structure Decay Speed","结构衰减速度";
"Inventory Weight","库存重量";
